"","Country","CL","CL","CL","CL","CL","CL","CL","CL","CL","CL","CL","CL","CL","CL","CL","CL","CL","CL","CL","CL","CL","CL","CL","CL","CL","CL","CL","CL","CL","CL","CL","CL","CL","CL","CL","CL","CL","CL","CL","CL","CL","CL","CL"
"1","Afghanistan","5","6","6","6","6","6","7","7","7","7","7","7","7","7","7","6","7","7","7","6","7","7","7","7","7","7","7","7","7","6","6","6","5","5","5","6","6","6","6","6","6","6","6"
"2","Albania","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","6","4","3","4","4","4","4","4","5","5","5","4","3","3","3","3","3","3","3","3","3","3","3","3","3","3"
"3","Algeria","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","4","4","4","6","6","7","6","6","6","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5"
"4","Andorra","3","4","4","4","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"5","Angola",NA,NA,NA,"6","6","7","7","7","7","7","7","7","7","7","7","7","7","7","4","6","7","7","6","6","6","6","6","6","6","5","5","5","5","5","5","5","5","5","5","5","5","5","6"
"6","Antigua & Barbuda",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","3","3","3","3","3","3","3","2","3","3","3","3","3","3","3","3","3","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2"
"7","Argentina","3","2","4","4","5","6","5","5","5","5","3","2","2","1","1","1","2","3","3","3","3","3","3","3","3","3","3","2","3","3","2","2","2","2","2","2","2","2","2","2","2","2","2"
"8","Armenia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5","3","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4"
"9","Australia","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"10","Austria","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"11","Azerbaijan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5","5","6","6","6","5","4","4","4","5","5","5","5","5","5","5","5","5","5","5","5","5","6","6","6"
"12","Bahamas",NA,"2","2","2","2","2","2","2","2","2","2","2","2","2","3","3","3","3","3","2","2","2","2","2","2","2","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"13","Bahrain","5","5","4","4","4","4","4","4","5","5","5","5","5","5","5","5","5","5","5","5","6","6","6","6","6","6","6","6","5","5","5","5","5","5","5","5","5","5","6","6","6","6","6"
"14","Bangladesh","4","4","4","5","4","4","4","3","4","5","5","5","5","5","5","5","4","5","3","3","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4"
"15","Barbados","1","1","1","1","1","1","1","1","1","1","1","2","2","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"16","Belarus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4","3","4","4","5","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6"
"17","Belgium","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","2","2","2","2","2","2","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"18","Belize",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","2","1","1","1","1","2","2","2","1","1","1","1","1","1","1","1","1","1","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2"
"19","Benin","5","5","6","7","7","7","7","6","6","6","6","7","7","7","7","7","7","4","3","3","3","3","2","2","2","2","3","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2"
"20","Bhutan","4","4","4","4","4","4","5","5","5","5","5","5","5","5","5","5","5","5","5","6","7","7","7","7","7","6","6","6","6","5","5","5","5","5","5","5","5","5","5","5","4","4","4"
"21","Bolivia","4","4","5","5","4","4","3","3","5","4","3","3","3","3","3","3","3","3","3","3","3","3","4","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3"
"22","Bosnia-Herzegovina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6","6","6","6","5","5","5","5","4","4","4","4","3","3","3","3","3","3","3","3","3","3","3","3"
"23","Botswana","4","3","3","3","3","3","3","2","3","3","3","3","3","3","3","3","2","2","2","2","3","3","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2"
"24","Brazil","5","5","4","5","5","5","4","3","3","3","3","3","2","2","2","3","2","3","3","3","4","4","4","4","4","4","4","3","3","3","3","3","2","2","2","2","2","2","2","2","2","2","2"
"25","Brunei","5","5","5","5","5",NA,NA,NA,NA,NA,NA,"6","5","5","5","6","6","5","5","6","6","6","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5"
"26","Bulgaria","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","4","3","3","2","2","2","3","3","3","3","3","3","2","2","2","2","2","2","2","2","2","2","2","2","2","2"
"27","Burkina Faso","4","4","4","4","5","4","3","3","5","5","5","5","6","6","6","6","5","5","5","5","4","4","4","4","4","4","4","4","4","4","4","4","3","3","3","3","3","3","3","3","3","3","3"
"28","Burundi","7","7","7","6","6","6","7","7","6","6","6","6","6","6","6","6","6","6","6","5","7","7","7","7","7","6","6","6","6","5","5","5","5","5","5","5","5","5","5","5","5","5","6"
"29","Cambodia","5","5","6","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","6","6","5","5","6","6","6","6","6","6","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5"
"30","Cameroon","4","4","4","4","5","5","6","6","6","6","6","7","7","6","6","6","6","6","6","5","5","5","5","5","5","5","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6"
"31","Canada","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"32","Cape Verde",NA,NA,NA,"5","6","6","6","6","6","6","6","7","7","6","6","6","5","5","3","2","2","2","2","2","2","2","2","2","2","2","1","1","1","1","1","1","1","1","1","1","1","1","1"
"33","Central African Republic","7","7","7","7","7","7","7","6","5","5","5","6","6","6","6","6","6","5","5","5","4","4","4","5","5","4","4","4","5","5","5","5","4","4","5","5","5","5","5","5","7","7","7"
"34","Chad","7","7","7","6","6","6","6","6","6","6","6","7","7","7","7","7","6","6","6","6","5","5","5","5","5","4","5","5","5","5","5","5","5","6","6","6","6","6","6","6","6","6","6"
"35","Chile","2","5","5","5","5","5","5","5","5","5","5","5","5","5","5","4","3","2","2","2","2","2","2","2","2","2","2","2","2","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"36","China","7","7","7","7","7","6","6","6","6","6","6","6","6","6","6","6","7","7","7","7","7","7","7","7","7","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6"
"37","Colombia","2","2","2","3","3","3","3","3","3","3","3","3","3","3","3","3","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","3","3","3","4","4","4","4","4","4","4","4"
"38","Comoros",NA,NA,NA,"2","3","4","4","5","5","5","4","5","6","6","6","6","5","5","3","2","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4"
"39","Congo (Brazzaville)","7","6","6","6","6","6","7","7","6","6","6","6","6","6","6","6","6","6","4","3","3","4","4","4","5","5","5","4","4","4","4","4","5","5","5","5","5","5","5","5","5","5","5"
"40","Congo (Kinshasa)","6","6","6","7","6","6","6","6","6","6","7","7","7","7","7","7","6","6","5","5","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6"
"41","Costa Rica","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","2","2","2","2","2","2","2","2","2","2","2","1","1","1","1","1","1","1","1","1","1","1","1"
"42","Cote d'Ivoire","6","6","6","5","5","5","5","5","5","5","5","5","5","5","5","6","5","4","4","4","5","5","5","5","4","4","5","5","4","6","5","6","6","6","5","5","5","6","6","5","4","4","4"
"43","Croatia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4","4","4","4","4","4","4","4","4","3","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2"
"44","Cuba","7","7","7","7","6","6","6","6","6","6","6","6","6","6","6","6","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","6","6","6","6","6","6","6","6"
"45","Cyprus","3","3","4","4","4","4","4","3","3","2","2","2","2","2","2","2","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
