"","Country","PR","PR","PR","PR","PR","PR","PR","PR","PR","PR","PR","PR","PR","PR","PR","PR","PR","PR","PR","PR","PR","PR","PR","PR","PR","PR","PR","PR","PR","PR","PR","PR","PR","PR","PR","PR","PR","PR","PR","PR","PR","PR","PR"
"1","Afghanistan","4","7","7","7","7","6","7","7","7","7","7","7","7","7","7","6","7","7","7","6","7","7","7","7","7","7","7","7","7","6","6","5","5","5","5","5","6","6","6","6","6","6","6"
"2","Albania","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","4","4","2","3","3","4","4","4","4","4","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3"
"3","Algeria","6","6","6","7","6","6","6","6","6","6","6","6","6","6","6","5","6","4","4","7","7","7","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6"
"4","Andorra","4","4","4","4","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"5","Angola",NA,NA,NA,"6","6","7","7","7","7","7","7","7","7","7","7","7","7","7","6","6","7","7","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6"
"6","Antigua & Barbuda",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","2","2","2","2","2","2","2","3","3","3","4","4","4","4","4","4","4","4","4","4","4","2","2","2","2","2","3","3","3","2","2","2","2"
"7","Argentina","6","2","2","2","6","6","6","6","6","6","3","2","2","2","2","2","1","1","1","2","2","2","2","2","2","3","2","1","3","3","2","2","2","2","2","2","2","2","2","2","2","2","2"
"8","Armenia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5","4","3","3","4","5","5","4","4","4","4","4","4","5","5","5","5","6","6","6","6","5","5","5","5"
"9","Australia","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"10","Austria","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"11","Azerbaijan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5","5","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","7"
"12","Bahamas",NA,"1","1","1","1","1","1","1","1","1","2","2","2","2","2","2","2","2","2","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"13","Bahrain","6","6","4","6","6","6","6","5","5","5","5","5","5","5","5","5","6","6","6","6","6","6","6","7","7","7","7","7","6","5","5","5","5","5","5","5","6","6","6","6","6","7","7"
"14","Bangladesh","2","4","4","7","7","6","4","3","3","5","6","6","5","4","4","4","4","5","2","2","2","2","3","2","2","2","3","3","3","4","4","4","4","4","5","4","3","3","3","3","3","4","4"
"15","Barbados","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"16","Belarus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4","4","5","4","5","6","6","6","6","6","6","6","6","7","7","7","7","7","7","7","7","7","7","7","7"
"17","Belgium","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"18","Belize",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1","2","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"19","Benin","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","6","2","2","2","2","2","2","2","2","2","2","3","3","2","2","2","2","2","2","2","2","2","2","2","2","2"
"20","Bhutan","4","4","4","4","4","4","5","5","5","5","5","5","5","5","5","5","6","6","6","7","7","7","7","7","7","7","7","7","7","6","6","6","6","6","6","4","4","4","4","4","3","3","3"
"21","Bolivia","5","5","6","6","6","6","5","3","7","7","2","2","2","2","2","2","2","2","2","2","2","2","2","2","1","1","1","1","1","2","3","3","3","3","3","3","3","3","3","3","3","3","3"
"22","Bosnia-Herzegovina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6","6","6","6","5","5","5","5","5","5","4","4","4","4","3","4","4","4","4","4","3","3","4","4"
"23","Botswana","3","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","1","1","1","1","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","3","3","3","3","3","3","3"
