"","Country","Status","Status","Status","Status","Status","Status","Status","Status","Status","Status","Status","Status","Status","Status","Status","Status","Status","Status","Status","Status","Status","Status","Status","Status","Status","Status","Status","Status","Status","Status","Status","Status","Status","Status","Status","Status","Status","Status","Status","Status","Status","Status","Status"
"1","Afghanistan","PF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","PF","PF","PF","NF","NF","NF","NF","NF","NF","NF","NF"
"2","Albania","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF"
"3","Algeria","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","PF","PF","PF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF"
"4","Andorra","PF","PF","PF","PF","PF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F"
"5","Angola",NA,NA,NA,"NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","PF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF"
"6","Antigua & Barbuda",NA,NA,NA,NA,NA,NA,NA,NA,NA,"F","F","F","F","F","F","F","F","F","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","F","F","F","F","F","F","F","F","F","F","F","F"
"7","Argentina","PF","F","PF","PF","NF","NF","NF","NF","NF","NF","PF","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","PF","PF","F","F","F","F","F","F","F","F","F","F","F","F","F"
"8","Armenia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF"
"9","Australia","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F"
"10","Austria","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F"
"11","Azerbaijan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PF","PF","NF","NF","NF","NF","PF","PF","PF","PF","PF","PF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF"
"12","Bahamas",NA,"F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F"
"13","Bahrain","NF","NF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","NF","NF","NF","NF","NF","NF","NF","NF","NF","PF","PF","PF","PF","PF","PF","PF","NF","NF","NF","NF","NF","NF","NF"
"14","Bangladesh","PF","PF","PF","NF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","F","F","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF"
"15","Barbados","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F"
"16","Belarus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PF","PF","PF","PF","PF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF"
"17","Belgium","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F"
"18","Belize",NA,NA,NA,NA,NA,NA,NA,NA,NA,"F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F"
"19","Benin","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","PF","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F"
"20","Bhutan","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","PF","PF","PF","PF","PF","PF","PF","PF"
"21","Bolivia","PF","PF","NF","NF","PF","PF","PF","PF","NF","PF","F","F","F","F","F","F","F","F","F","F","F","F","PF","F","F","F","F","F","F","F","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF"
"22","Bosnia-Herzegovina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NF","NF","NF","NF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF"
"23","Botswana","PF","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F"
"24","Brazil","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","F","F","F","F","F","F","F","F","PF","PF","PF","PF","PF","PF","PF","PF","PF","F","F","F","F","F","F","F","F","F","F","F","F","F","F"
"25","Brunei","NF","NF","NF","NF","NF",NA,NA,NA,NA,NA,NA,"NF","PF","PF","PF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF"
"26","Bulgaria","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","PF","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F"
"27","Burkina Faso","PF","PF","PF","PF","PF","PF","F","F","PF","PF","PF","NF","NF","NF","NF","NF","NF","NF","NF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF"
"28","Burundi","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","PF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","PF","NF","NF"
"29","Cambodia","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","PF","PF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF","NF"
